,Biomodel name,coverage,automatic annotation,ontology for automatic annotation,manual annotation,ontology for manual annotation
704,BIOMD0000000767,0.4444444444444444,"['Tumor Cell Seeding', 'Cancer Control', 'Immunological Diagnostic Method', 'Memory T-Lymphocyte', 'Immunology', 'Mathematical Model', 'effector']","['http://purl.obolibrary.org/obo/NCIT_C172041', 'http://purl.obolibrary.org/obo/NCIT_C15971', 'http://purl.obolibrary.org/obo/NCIT_C18193', 'http://purl.obolibrary.org/obo/NCIT_C104082', 'http://purl.obolibrary.org/obo/NCIT_C18011', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/CHEBI_35224']","[' Ordinary differential equation model,  Homo sapiens,  Oncolytic Virus Therapy']","[' MAMO_0000046,  9606,  C62713']"
850,BIOMD0000000925,0.4444444444444444,"['Enzyme', 'Thrombin', 'Clotrimazole', 'Decay']","['http://purl.obolibrary.org/obo/NCIT_C16554', 'http://purl.obolibrary.org/obo/CHEBI_9574', 'http://purl.obolibrary.org/obo/NCIT_C381', 'http://purl.obolibrary.org/obo/NCIT_C75947']","[' Homo sapiens,  Ordinary differential equation model,  blood coagulation,  blood']","[' 9606,  MAMO_0000046,  GO:0007596,  BTO:0000089']"
735,BIOMD0000000798,0.4444444444444444,"['Amlintide', 'immune response', 'Optimal Debulking', 'Chemotherapy']","['http://purl.obolibrary.org/obo/NCIT_C169781', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/NCIT_C128096', 'http://purl.obolibrary.org/obo/NCIT_C15632']","[' Ordinary differential equation model,  Homo sapiens,  acute myeloid leukemia']","[' MAMO_0000046,  9606,  0000222']"
544,BIOMD0000000578,0.4444444444444444,"['G-Protein Signaling Pathway', 'Adaptation', 'Rhodopsin Kinase', 'Mutant', 'cone photoresponse recovery', 'Computer Modeling', 'Rhodopsin', 'Computer Modeling', 'Stimulus', 'Biochemical', 'phototransduction']","['http://purl.obolibrary.org/obo/NCIT_C39096', 'http://purl.obolibrary.org/obo/NCIT_C158868', 'http://purl.obolibrary.org/obo/NCIT_C29868', 'http://purl.obolibrary.org/obo/NCIT_C25360', 'http://purl.obolibrary.org/obo/GO_0036368', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C129080', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C25434', 'http://purl.obolibrary.org/obo/GO_0007602']","[' Mus musculus,  Rod cell,  phototransduction,  Ordinary differential equation model']","[' 10090,  FMA:67747,  GO:0007602,  MAMO_0000046']"
468,BIOMD0000000498,0.4444444444444444,"['Robust', 'Dietary Supplement', 'modelling framework', 'Iron Overload', 'Toxicity', 'Liver', 'Quantitative Concept', 'Liver Iron Concentration', 'Computer Modeling', 'iron sensor activity', 'Property of Relationship', 'Systemic']","['http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C1505', 'http://biomodels.net/SBO/SBO_0000004', 'http://purl.obolibrary.org/obo/NCIT_C78393', 'http://purl.obolibrary.org/obo/NCIT_C27990', 'http://purl.obolibrary.org/obo/NCIT_C12392', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C124065', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/GO_0140482', 'http://purl.obolibrary.org/obo/NCIT_C75915', 'http://purl.obolibrary.org/obo/NCIT_C13310']","[' Ordinary differential equation model,  Homo sapiens,  hepatocyte homeostasis,  hemochromatosis']","[' MAMO_0000046,  9606,  GO:0036333,  DOID:2352']"
322,BIOMD0000000327,0.42857142857142855,"['Pharmacokinetic Parameters Domain', 'Activation', 'Findings-Based Question', 'Robust', 'Mutations per Megabase', 'inhibited', 'Luminal', 'Pancreatic Duct', 'Mathematical Model', 'Proximal', 'Secretion', 'Permeability', 'Basolateral plasma membrane', 'Ductal Carcinoma Cell', 'Shwachman-Diamond syndrome', 'Fluid Secretion Alteration']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C91103', 'http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C188348', 'http://biomodels.net/SBO/SBO_0000642', 'http://purl.obolibrary.org/obo/NCIT_C26456', 'http://purl.obolibrary.org/obo/NCIT_C12272', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C25236', 'http://purl.obolibrary.org/obo/FMA_9675', 'http://purl.obolibrary.org/obo/NCIT_C71611', 'http://purl.obolibrary.org/obo/FMA_84669', 'http://purl.obolibrary.org/obo/NCIT_C36858', 'http://purl.obolibrary.org/obo/MONDO_0009833', 'http://purl.obolibrary.org/obo/NCIT_C41548']","[' Homo sapiens,  pancreatic duct,  pancreatic juice secretion']","[' 9606,  BTO:0002362,  GO:0030157']"
736,BIOMD0000000799,0.42857142857142855,"['Cell', 'Destroyed Medical Device', 'Clone', 'Mathematical Model', 'Inhibition', 'Abnormal']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C112270', 'http://purl.obolibrary.org/obo/NCIT_C37925', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C42791', 'http://purl.obolibrary.org/obo/NCIT_C25401']","[' Ordinary differential equation model,  Acute Myeloid Leukemia']","[' MAMO_0000046,  C3171']"
708,BIOMD0000000771,0.42857142857142855,"['Pharmacokinetic Parameters Domain', 'Partial', 'Infection-Related Neoplasm', 'Hopf bifurcation', 'Tumor Tissue', 'Biology']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C25378', 'http://purl.obolibrary.org/obo/NCIT_C27224', 'http://identifiers.org/teddy/TEDDY_0000072', 'http://purl.obolibrary.org/obo/NCIT_C18009', 'http://purl.obolibrary.org/obo/NCIT_C16345']","[' Ordinary differential equation model,  Oncolytic Virus Therapy']","[' MAMO_0000046,  C62713']"
780,BIOMD0000000845,0.42857142857142855,[],[],"[' Ordinary differential equation model,  transmission of virus']","[' MAMO_0000046,  GO:0019089']"
876,BIOMD0000000951,0.42857142857142855,"['Confidence Limit', 'Pharmacokinetic Parameters Domain', 'Acidosis', 'Cumulative', 'Quantitative Concept', 'Indicator', 'phospholipid measurement', 'Largest', 'Variability', 'blood plasma', 'Patterns of Care', 'Sensitivity', 'Onset', 'Thrombin', 'pH', 'Complication', 'Fraction', 'Acidosis', 'Prothrombin Time', 'More Complex Surgery', 'Inhibit Scale', 'Decreased']","['http://purl.obolibrary.org/obo/NCIT_C53325', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C83504', 'http://purl.obolibrary.org/obo/NCIT_C25470', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C25180', 'http://www.ebi.ac.uk/efo/EFO_0004639', 'http://purl.obolibrary.org/obo/NCIT_C25550', 'http://purl.obolibrary.org/obo/NCIT_C85443', 'http://purl.obolibrary.org/obo/BTO_0000131', 'http://purl.obolibrary.org/obo/NCIT_C19155', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C25279', 'http://purl.obolibrary.org/obo/CHEBI_9574', 'http://purl.obolibrary.org/obo/NCIT_C45997', 'http://purl.obolibrary.org/obo/NCIT_C2959', 'http://purl.obolibrary.org/obo/NCIT_C25514', 'http://purl.obolibrary.org/obo/NCIT_C83504', 'http://purl.obolibrary.org/obo/NCIT_C62656', 'http://purl.obolibrary.org/obo/NCIT_C172010', 'http://purl.obolibrary.org/obo/NCIT_C121463', 'http://purl.obolibrary.org/obo/NCIT_C164132']","[' Homo sapiens,  blood coagulation,  blood plasma,  acidosis']","[' 9606,  GO:0007596,  BTO:0000131,  1000014']"
965,BIOMD0000001042,0.42857142857142855,"['Pharmacokinetic Parameters Domain', 'Tumor-Infiltrating Immune Cell', 'Tumor Size', 'T-Cell Depletion Therapy', 'Immune System', 'Immunotherapy', 'Recurrent Neoplasm', 'Specified', 'T-Cell Depletion Therapy', 'Tumor-Infiltrating Immune Cell', 'Unstable', 'Tumor Tissue', 'Mathematical Model', 'Bifurcation', 'Stiffness Problem Identified', 'Cytokine Therapy', 'DNA Stability Analysis', 'Recurrence', 'Chemotherapy', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C153548', 'http://purl.obolibrary.org/obo/NCIT_C120284', 'http://purl.obolibrary.org/obo/NCIT_C15699', 'http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C15262', 'http://purl.obolibrary.org/obo/NCIT_C4798', 'http://purl.obolibrary.org/obo/NCIT_C38024', 'http://purl.obolibrary.org/obo/NCIT_C15699', 'http://purl.obolibrary.org/obo/NCIT_C153548', 'http://purl.obolibrary.org/obo/NCIT_C154660', 'http://purl.obolibrary.org/obo/NCIT_C18009', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C90367', 'http://purl.obolibrary.org/obo/NCIT_C92118', 'http://purl.obolibrary.org/obo/NCIT_C15411', 'http://purl.obolibrary.org/obo/NCIT_C63329', 'http://purl.obolibrary.org/obo/NCIT_C3352', 'http://purl.obolibrary.org/obo/NCIT_C15632', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  immune response to tumor cell,  Cancer Immunology,  cancer']","[' 9606,  MAMO_0000046,  GO:0002418,  C18670,  DOID:162']"
678,BIOMD0000000741,0.42857142857142855,"['Mathematical Model', 'ovarian cancer', 'CA-125 Antigen']","['http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/MONDO_0008170', 'http://purl.obolibrary.org/obo/NCIT_C325']","[' immune response to tumor cell,  ovary,  ovarian carcinoma,  Ordinary differential equation model,  Homo sapiens']","[' GO:0002418,  BTO:0000975,  0001075,  MAMO_0000046,  9606']"
815,BIOMD0000000881,0.42857142857142855,"['Imaging Finding Ranges', 'Prognosis', 'Immune System', 'Immunotherapy', 'Tear Secretion Rate', 'Immunophenotype', 'Melanoma', 'Threshold', 'Toxicity', 'IL-10 Immunomodulator MK-1966', 'Pro-Epidermal Growth Factor', 'Tumor Tissue', 'Theoretical Biology', 'Th1/Th2 Differentiation Pathway', 'Cell-Mediated Immunity', 'Estimated Platelets Measurement']","['http://purl.obolibrary.org/obo/NCIT_C180890', 'http://purl.obolibrary.org/obo/NCIT_C17013', 'http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C15262', 'http://purl.obolibrary.org/obo/NCIT_C172575', 'http://purl.obolibrary.org/obo/NCIT_C20072', 'http://purl.obolibrary.org/obo/NCIT_C3224', 'http://purl.obolibrary.org/obo/NCIT_C48228', 'http://purl.obolibrary.org/obo/NCIT_C27990', 'http://purl.obolibrary.org/obo/NCIT_C126840', 'http://purl.obolibrary.org/obo/NCIT_C118403', 'http://purl.obolibrary.org/obo/NCIT_C18009', 'http://purl.obolibrary.org/obo/NCIT_C19061', 'http://purl.obolibrary.org/obo/NCIT_C39252', 'http://purl.obolibrary.org/obo/NCIT_C16711', 'http://www.ebi.ac.uk/efo/EFO_0009237']","[' Ordinary differential equation model,  Interferon Gamma,  Interleukin-10']","[' MAMO_0000046,  C20496,  C20512']"
384,BIOMD0000000396,0.42857142857142855,"['Matched Related Donor', 'cell fate specification', 'Sonic Hedgehog Pathway', 'Nervous System', 'Enhancer', 'Proliferation', 'Neural Stem Cell', 'agonist', 'Computer Modeling', 'Notch', 'ES01', 'Computer Modeling', 'Concurrent', 'DAPT']","['http://purl.obolibrary.org/obo/NCIT_C131675', 'http://purl.obolibrary.org/obo/GO_0001708', 'http://purl.obolibrary.org/obo/NCIT_C39231', 'http://purl.obolibrary.org/obo/NCIT_C12755', 'http://purl.obolibrary.org/obo/NCIT_C13296', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C12985', 'http://purl.obolibrary.org/obo/CHEBI_48705', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/FMA_75036', 'http://purl.obolibrary.org/obo/NCIT_C20249', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C25456', 'http://purl.obolibrary.org/obo/CHEBI_86193']","[' Notch signaling pathway,  Mammalia,  neuronal stem cell']","[' GO:0007219,  40674,  CL:0000047']"
622,BIOMD0000000668,0.42857142857142855,"['Combination Chemotherapy', 'Xevinapant', 'Measured', 'Apoptosis', 'Standard Treatment', 'Birinapant', 'Optimal Debulking', 'Induced Cataract', 'Treatment Regimen', 'Time-Consuming', 'inhibitor', 'Pretreatment', 'Cell Proliferation', 'Gemcitabine', 'Modeling']","['http://purl.obolibrary.org/obo/NCIT_C191', 'http://purl.obolibrary.org/obo/NCIT_C90574', 'http://purl.obolibrary.org/obo/NCIT_C44473', 'http://purl.obolibrary.org/obo/NCIT_C17557', 'http://purl.obolibrary.org/obo/NCIT_C142696', 'http://purl.obolibrary.org/obo/NCIT_C88295', 'http://purl.obolibrary.org/obo/NCIT_C128096', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C15697', 'http://purl.obolibrary.org/obo/NCIT_C106683', 'http://purl.obolibrary.org/obo/CHEBI_35222', 'http://purl.obolibrary.org/obo/NCIT_C103339', 'http://purl.obolibrary.org/obo/NCIT_C18081', 'http://purl.obolibrary.org/obo/NCIT_C66876', 'http://purl.obolibrary.org/obo/NCIT_C16063']","[' Gemcitabine (USAN/INN),  Combination Chemotherapy,  pancreas,  Birinapant (USAN/INN)']","[' D02368,  C191,  BTO:0000988,  D10417']"
589,BIOMD0000000634,0.42857142857142855,"['cognitive decline measurement', 'Soluble', 'Progression in GvHD', 'Immunotherapy', 'Side Effects Question', 'CDISC Interventions Class', 'modelling framework', 'Therapeutic Procedure', 'Clinical Testing', 'amyloid-beta', 'Tau', 'Molecular', ""Alzheimer's Disease"", 'Aggregation', 'beta-amyloid 1-42 measurement', 'Biomedical Research']","['http://www.ebi.ac.uk/efo/EFO_0007710', 'http://purl.obolibrary.org/obo/NCIT_C64364', 'http://purl.obolibrary.org/obo/NCIT_C126724', 'http://purl.obolibrary.org/obo/NCIT_C15262', 'http://purl.obolibrary.org/obo/NCIT_C173933', 'http://purl.obolibrary.org/obo/NCIT_C103374', 'http://biomodels.net/SBO/SBO_0000004', 'http://purl.obolibrary.org/obo/NCIT_C49236', 'http://purl.obolibrary.org/obo/NCIT_C15791', 'http://purl.obolibrary.org/obo/CHEBI_64645', 'http://purl.obolibrary.org/obo/NCIT_C67052', 'http://purl.obolibrary.org/obo/NCIT_C25574', 'http://purl.obolibrary.org/obo/NCIT_C2866', 'http://purl.obolibrary.org/obo/NCIT_C62344', 'http://www.ebi.ac.uk/efo/EFO_0004670', 'http://purl.obolibrary.org/obo/NCIT_C15188']","["" Ordinary differential equation model,  Homo sapiens,  Alzheimer disease pathway,  inclusion body assembly,  Alzheimer's disease""]","[' MAMO_0000046,  9606,  PW:0000015,  GO:0070841,  DOID:10652']"
577,BIOMD0000000622,0.42857142857142855,"['Monoubiquitination', 'Ubiquitination', 'Histone H2A', 'UBE3A wt Allele', 'H2AB2 Gene', 'Polycomb-Group Protein', 'Biochemical']","['http://purl.obolibrary.org/obo/NCIT_C21588', 'http://purl.obolibrary.org/obo/NCIT_C19358', 'http://purl.obolibrary.org/obo/NCIT_C16684', 'http://purl.obolibrary.org/obo/NCIT_C75436', 'http://purl.obolibrary.org/obo/NCIT_C154652', 'http://purl.obolibrary.org/obo/NCIT_C118479', 'http://purl.obolibrary.org/obo/NCIT_C25434']","[' protein catabolic process,  protein ubiquitination,  cellular organisms']","[' GO:0030163,  GO:0016567,  131567']"
396,BIOMD0000000408,0.42857142857142855,"['Measured', 'PCR Regimen', 'Mathematical Model', 'Analysis', 'Findings-Based Question', 'Myocardium', 'cKIT-targeting Agent', 'Creatine Kinase', 'Reducing Excipient', 'Computer Modeling', 'ADP', 'Hydrolysis', 'Amplitude', 'Bandwidth', 'Temporal', 'ATP', 'Inhibition']","['http://purl.obolibrary.org/obo/NCIT_C44473', 'http://purl.obolibrary.org/obo/NCIT_C63459', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C25391', 'http://purl.obolibrary.org/obo/NCIT_C91103', 'http://purl.obolibrary.org/obo/NCIT_C12371', 'http://purl.obolibrary.org/obo/NCIT_C163999', 'http://purl.obolibrary.org/obo/NCIT_C113245', 'http://purl.obolibrary.org/obo/NCIT_C176639', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/CHEBI_16761', 'http://purl.obolibrary.org/obo/NCIT_C16702', 'http://purl.obolibrary.org/obo/NCIT_C70831', 'http://purl.obolibrary.org/obo/NCIT_C142399', 'http://purl.obolibrary.org/obo/NCIT_C73990', 'http://purl.obolibrary.org/obo/CHEBI_15422', 'http://purl.obolibrary.org/obo/NCIT_C42791']","[' Oryctolagus,  ATP metabolic process,  creatine metabolic process']","[' 9984,  GO:0046034,  GO:0006600']"
852,BIOMD0000000927,0.42857142857142855,"['Sensitivity', 'Feedback']","['http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C82652']","[' Ordinary differential equation model,  plant,  unidentified plant']","[' MAMO_0000046,  BTO:0001481,  47299']"
570,BIOMD0000000615,0.42857142857142855,"['alpha synuclein measurement', 'Somatic', 'Synthesis', 'Infectious Disorder', 'Synapse', 'Aggregation', 'Interruption', ""Parkinson's Disease"", 'alpha synuclein measurement']","['http://www.ebi.ac.uk/efo/EFO_0009323', 'http://purl.obolibrary.org/obo/NCIT_C94322', 'http://purl.obolibrary.org/obo/NCIT_C61408', 'http://purl.obolibrary.org/obo/NCIT_C26726', 'http://purl.obolibrary.org/obo/NCIT_C13281', 'http://purl.obolibrary.org/obo/NCIT_C62344', 'http://purl.obolibrary.org/obo/NCIT_C25542', 'http://purl.obolibrary.org/obo/NCIT_C26845', 'http://www.ebi.ac.uk/efo/EFO_0009323']","["" Homo sapiens,  inclusion body assembly,  Parkinson's disease""]","[' 9606,  GO:0070841,  DOID:14330']"
973,BIOMD0000001064,0.42857142857142855,"['Cell', 'Genome', 'Drug Discovery', 'Interactive Kiosk', 'Opportunistic Sampling', 'HER2-targeted DARPin MP0274', 'Pathogen', 'Microbial Physiology', 'Candidate Disease Gene', 'Vibrio vulnificus']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C16629', 'http://purl.obolibrary.org/obo/NCIT_C15802', 'http://purl.obolibrary.org/obo/NCIT_C19749', 'http://purl.obolibrary.org/obo/NCIT_C71512', 'http://purl.obolibrary.org/obo/NCIT_C148491', 'http://purl.obolibrary.org/obo/NCIT_C80324', 'http://purl.obolibrary.org/obo/NCIT_C18873', 'http://purl.obolibrary.org/obo/NCIT_C19389', 'http://purl.obolibrary.org/obo/NCIT_C86847']","[' Vibrio vulnificus,  cellular metabolic process,  Constraint-based model']","[' 672,  GO:0044237,  MAMO_0000009']"
97,BIOMD0000000099,0.42857142857142855,"['Robust', 'Differential Display', 'Protein Kinase A', 'Spontaneous', 'Pulse', 'Attenuation', 'Initiation']","['http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C18483', 'http://purl.obolibrary.org/obo/NCIT_C16479', 'http://purl.obolibrary.org/obo/NCIT_C48307', 'http://purl.obolibrary.org/obo/NCIT_C25749', 'http://purl.obolibrary.org/obo/NCIT_C61471', 'http://purl.obolibrary.org/obo/NCIT_C47938']","[' Ordinary differential equation model,  Dictyostelium,  cAMP-mediated signaling']","[' MAMO_0000046,  5782,  GO:0019933']"
23,BIOMD0000000025,0.42857142857142855,"['positive feedback loop', 'Stochastic', 'Removed', 'Robust', 'Drosophila', 'Analytical Procedure Robustness', 'Reduced', 'oscillation', 'Transcriptional Regulation', 'Gene Product', 'Binding', 'Transcription']","['http://identifiers.org/teddy/TEDDY_0000035', 'http://purl.obolibrary.org/obo/NCIT_C142697', 'http://purl.obolibrary.org/obo/NCIT_C25650', 'http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C14202', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C25640', 'http://identifiers.org/teddy/TEDDY_0000006', 'http://purl.obolibrary.org/obo/NCIT_C19077', 'http://purl.obolibrary.org/obo/NCIT_C26548', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://purl.obolibrary.org/obo/NCIT_C17208']","[' Drosophila melanogaster,  circadian regulation of gene expression']","[' 7227,  GO:0032922']"
201,BIOMD0000000203,0.42857142857142855,"['Irreversible Inhibitor', 'RNA Polymerase', 'Candidate Disease Gene', 'Consistent', 'Stem Cell', 'Self']","['http://purl.obolibrary.org/obo/NCIT_C156614', 'http://purl.obolibrary.org/obo/NCIT_C20076', 'http://purl.obolibrary.org/obo/NCIT_C19389', 'http://purl.obolibrary.org/obo/NCIT_C85901', 'http://purl.obolibrary.org/obo/NCIT_C12662', 'http://purl.obolibrary.org/obo/NCIT_C25200']","[' Mus musculus,  Homo sapiens,  stem cell differentiation']","[' 10090,  9606,  GO:0048863']"
202,BIOMD0000000204,0.42857142857142855,"['Irreversible Inhibitor', 'RNA Polymerase', 'Candidate Disease Gene', 'Consistent', 'Stem Cell', 'Self']","['http://purl.obolibrary.org/obo/NCIT_C156614', 'http://purl.obolibrary.org/obo/NCIT_C20076', 'http://purl.obolibrary.org/obo/NCIT_C19389', 'http://purl.obolibrary.org/obo/NCIT_C85901', 'http://purl.obolibrary.org/obo/NCIT_C12662', 'http://purl.obolibrary.org/obo/NCIT_C25200']","[' Mus musculus,  Homo sapiens,  stem cell differentiation']","[' 10090,  9606,  GO:0048863']"
312,BIOMD0000000317,0.42105263157894735,"['Gene Expression', 'Recurrence', 'Escherichia coli', 'Temporal', 'Patterns of Care', 'Transcriptional Regulation', 'Sequence Analysis', 'Organism', 'Data Collection']","['http://purl.obolibrary.org/obo/NCIT_C16608', 'http://purl.obolibrary.org/obo/NCIT_C3352', 'http://purl.obolibrary.org/obo/NCIT_C14206', 'http://purl.obolibrary.org/obo/NCIT_C73990', 'http://purl.obolibrary.org/obo/NCIT_C19155', 'http://purl.obolibrary.org/obo/NCIT_C19077', 'http://purl.obolibrary.org/obo/NCIT_C17565', 'http://purl.obolibrary.org/obo/NCIT_C14250', 'http://purl.obolibrary.org/obo/NCIT_C103159']","[' Ordinary differential equation model,  Escherichia coli,  regulation of gene expression,  obsolete transcription activator activity,  positive regulation of gene expression']","[' MAMO_0000046,  562,  GO:0010468,  GO:0016563,  GO:0010628']"
498,BIOMD0000000529,0.4166666666666667,"['Measured', 'Variability', 'H1N1 Influenza', 'immune response', 'innate immune response', 'Monocyte-Derived Microparticle']","['http://purl.obolibrary.org/obo/NCIT_C44473', 'http://purl.obolibrary.org/obo/NCIT_C85443', 'http://purl.obolibrary.org/obo/NCIT_C80444', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/GO_0045087', 'http://purl.obolibrary.org/obo/NCIT_C120027']","[' Homo sapiens,  Influenza A virus (A/New Caledonia/20/1999(H1N1)),  Ordinary differential equation model,  influenza']","[' 9606,  381512,  MAMO_0000046,  DOID:8469']"
664,BIOMD0000000727,0.4166666666666667,"['Brucella', 'Agriculture', 'Property of Relationship', 'Rhizobium', 'Biochemical']","['http://purl.obolibrary.org/obo/NCIT_C86215', 'http://purl.obolibrary.org/obo/NCIT_C16270', 'http://purl.obolibrary.org/obo/NCIT_C75915', 'http://purl.obolibrary.org/obo/NCIT_C86718', 'http://purl.obolibrary.org/obo/NCIT_C25434']","[' Ordinary differential equation model,  cell cycle,  Caulobacter vibrioides,  regulation of cell cycle']","[' MAMO_0000046,  GO:0007049,  155892,  GO:0051726']"
467,BIOMD0000000497,0.4166666666666667,"['Thermodynamics', 'Pharmacokinetic Parameters Domain', 'Quantitative Concept', 'Metabolic', 'Yeast', 'metabolite', 'Workflow', 'Lawsonia inermis Leaf']","['http://purl.obolibrary.org/obo/NCIT_C17193', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C28240', 'http://purl.obolibrary.org/obo/NCIT_C14286', 'http://purl.obolibrary.org/obo/CHEBI_25212', 'http://purl.obolibrary.org/obo/NCIT_C42753', 'http://purl.obolibrary.org/obo/NCIT_C72518']","[' Ordinary differential equation model,  Saccharomyces cerevisiae,  metabolic process,  organic substance biosynthetic process']","[' MAMO_0000046,  4932,  GO:0008152,  GO:1901576']"
738,BIOMD0000000801,0.4166666666666667,"['Malignant', 'Glioma', 'Temporal', 'mixed glioma', 'Released File', 'brain neoplasm', 'Marker', 'Biomarker', 'Permeability', 'Genetic Variation']","['http://purl.obolibrary.org/obo/NCIT_C14143', 'http://purl.obolibrary.org/obo/NCIT_C3059', 'http://purl.obolibrary.org/obo/NCIT_C73990', 'http://purl.obolibrary.org/obo/MONDO_0003268', 'http://purl.obolibrary.org/obo/NCIT_C172876', 'http://www.ebi.ac.uk/efo/EFO_0003833', 'http://purl.obolibrary.org/obo/NCIT_C177671', 'http://purl.obolibrary.org/obo/NCIT_C16342', 'http://purl.obolibrary.org/obo/NCIT_C71611', 'http://purl.obolibrary.org/obo/NCIT_C17248']","[' Ordinary differential equation model,  Homo sapiens,  immune response to tumor cell,  glioma']","[' MAMO_0000046,  9606,  GO:0002418,  0005543']"
167,BIOMD0000000169,0.4166666666666667,"['Cell', 'Activation', 'Progression in GvHD', 'Threshold', 'R-group Connection Point', 'Mitogen', 'inhibitor', 'Mitosis', 'G1/S Transition Checkpoint', 'Computer Modeling', 'Mitogen', 'Computer Modeling']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C126724', 'http://purl.obolibrary.org/obo/NCIT_C48228', 'http://purl.obolibrary.org/obo/NCIT_C177645', 'http://purl.obolibrary.org/obo/NCIT_C660', 'http://purl.obolibrary.org/obo/CHEBI_35222', 'http://purl.obolibrary.org/obo/NCIT_C16864', 'http://purl.obolibrary.org/obo/NCIT_C19416', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C660', 'http://purl.obolibrary.org/obo/NCIT_C16461']","[' Mammalia,  Cell Cycle Checkpoints,  mitotic cell cycle checkpoint,  Ordinary differential equation model']","[' 40674,  REACT_1538.1,  GO:0031575,  MAMO_0000046']"
303,BIOMD0000000308,0.4166666666666667,"['Theoretical Biology', 'Reasoning']","['http://purl.obolibrary.org/obo/NCIT_C19061', 'http://purl.obolibrary.org/obo/NCIT_C86584']","[' regulation of binding,  intracellular signal transduction,  Ordinary differential equation model,  cellular organisms']","[' GO:0051098,  GO:0007243,  MAMO_0000046,  131567']"
